epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,3963.32,0.61958,0.41215,1.03115,0.87237,0.87046,0.91995,0.75878,0.70685,0.45215,1.07909,0.005842,0.005842,0.005842
44,4054.61,0.61638,0.41187,1.01943,0.889,0.85762,0.91926,0.75794,0.70731,0.45268,1.07555,0.005743,0.005743,0.005743
45,4145.73,0.61322,0.40677,1.02607,0.90654,0.8512,0.92218,0.76148,0.70428,0.44979,1.08257,0.005644,0.005644,0.005644
46,4237.21,0.6149,0.41034,1.02516,0.88699,0.86915,0.92304,0.76578,0.6944,0.43845,1.07422,0.005545,0.005545,0.005545
47,4328.66,0.60607,0.39956,1.01709,0.88361,0.88237,0.92734,0.76595,0.70028,0.4362,1.0744,0.005446,0.005446,0.005446
48,4420.16,0.60226,0.39566,1.01581,0.90207,0.86094,0.92482,0.76915,0.69357,0.43161,1.07529,0.005347,0.005347,0.005347
49,4511.42,0.59678,0.38638,1.00868,0.89287,0.87639,0.93057,0.77157,0.70033,0.43088,1.07675,0.005248,0.005248,0.005248
50,4602.73,0.59444,0.38344,1.01343,0.89833,0.87537,0.92815,0.77117,0.69531,0.4323,1.073,0.005149,0.005149,0.005149
51,4693.65,0.58716,0.38565,1.00391,0.89276,0.88002,0.92795,0.76988,0.69611,0.42863,1.07583,0.00505,0.00505,0.00505
52,4784.69,0.58843,0.38166,1.00946,0.89908,0.86651,0.92558,0.77077,0.68709,0.42935,1.06812,0.004951,0.004951,0.004951
53,4875.74,0.57889,0.37554,1.00175,0.87812,0.89689,0.92911,0.77298,0.68627,0.42697,1.06782,0.004852,0.004852,0.004852
54,4967.44,0.57843,0.36877,0.99858,0.89367,0.88571,0.93074,0.77576,0.68846,0.42005,1.07208,0.004753,0.004753,0.004753
55,5059.1,0.57391,0.36614,0.99753,0.91172,0.86594,0.92971,0.77645,0.68185,0.41122,1.06815,0.004654,0.004654,0.004654
56,5150.64,0.5729,0.35866,0.99373,0.90786,0.87744,0.93362,0.77852,0.68082,0.4124,1.06678,0.004555,0.004555,0.004555
57,5242.08,0.56912,0.35816,0.99355,0.90581,0.88342,0.93412,0.77975,0.68155,0.40836,1.06768,0.004456,0.004456,0.004456
58,5333.49,0.56307,0.35852,0.99118,0.90898,0.8774,0.93486,0.77957,0.68175,0.417,1.07063,0.004357,0.004357,0.004357
59,5424.87,0.55712,0.34951,0.98471,0.88452,0.90271,0.93524,0.77938,0.68064,0.40552,1.06929,0.004258,0.004258,0.004258
60,5516.37,0.55463,0.33857,0.99015,0.90807,0.87611,0.93547,0.78258,0.67541,0.407,1.0649,0.004159,0.004159,0.004159
61,5607.89,0.55064,0.34604,0.98187,0.91055,0.87917,0.93455,0.77746,0.67895,0.40245,1.06609,0.00406,0.00406,0.00406
62,5699.3,0.54548,0.33907,0.97927,0.90588,0.88731,0.93459,0.78224,0.67229,0.40323,1.06418,0.003961,0.003961,0.003961
63,5790.8,0.54138,0.33411,0.97894,0.90329,0.8926,0.93677,0.78516,0.67696,0.39941,1.06531,0.003862,0.003862,0.003862
64,5882.44,0.5396,0.33146,0.97894,0.88875,0.90147,0.93698,0.78349,0.66692,0.40105,1.06262,0.003763,0.003763,0.003763
65,5973.68,0.53378,0.33196,0.97295,0.8937,0.90079,0.93516,0.78187,0.66788,0.39701,1.0639,0.003664,0.003664,0.003664
66,6065.03,0.53042,0.32923,0.97132,0.88871,0.90244,0.93399,0.78215,0.67418,0.40482,1.06754,0.003565,0.003565,0.003565
67,6156.39,0.53006,0.32339,0.96851,0.90048,0.89739,0.93665,0.781,0.67196,0.40151,1.068,0.003466,0.003466,0.003466
68,6247.58,0.52682,0.32328,0.9676,0.91865,0.87943,0.93828,0.78422,0.6688,0.39647,1.06569,0.003367,0.003367,0.003367
69,6339.1,0.52622,0.31841,0.96766,0.89526,0.90548,0.93838,0.78559,0.66935,0.39421,1.06775,0.003268,0.003268,0.003268
70,6430.65,0.5138,0.31153,0.96243,0.89251,0.91169,0.93866,0.78769,0.66545,0.39038,1.06519,0.003169,0.003169,0.003169
71,6523.12,0.50924,0.30718,0.96398,0.89548,0.90046,0.93761,0.78808,0.66445,0.39184,1.06389,0.00307,0.00307,0.00307
72,6618.41,0.50867,0.30793,0.95852,0.91528,0.88239,0.93828,0.78718,0.66626,0.3949,1.06838,0.002971,0.002971,0.002971
73,6715.23,0.50846,0.31083,0.95936,0.89364,0.90496,0.93931,0.78755,0.66748,0.39394,1.06762,0.002872,0.002872,0.002872
74,6809.33,0.49829,0.29983,0.95268,0.90422,0.89986,0.94064,0.78877,0.66959,0.39166,1.06706,0.002773,0.002773,0.002773
75,6901.79,0.49655,0.2973,0.951,0.91104,0.89378,0.93956,0.78985,0.66483,0.39294,1.0639,0.002674,0.002674,0.002674
76,6994.53,0.49392,0.29766,0.94899,0.90956,0.88973,0.93904,0.7889,0.66306,0.39006,1.06629,0.002575,0.002575,0.002575
77,7086.3,0.49112,0.29567,0.9486,0.90395,0.89517,0.9412,0.79142,0.66086,0.38898,1.06718,0.002476,0.002476,0.002476
78,7178.44,0.48071,0.28735,0.94602,0.91383,0.8912,0.94081,0.79375,0.66003,0.38884,1.0677,0.002377,0.002377,0.002377
79,7270.55,0.48104,0.28867,0.94473,0.91139,0.8962,0.94065,0.79253,0.66085,0.38912,1.06612,0.002278,0.002278,0.002278
80,7362.32,0.4748,0.28403,0.94296,0.91031,0.89554,0.94199,0.79448,0.66149,0.38996,1.06608,0.002179,0.002179,0.002179
81,7454.86,0.47118,0.28248,0.94051,0.90841,0.90165,0.94179,0.7927,0.65992,0.38866,1.06603,0.00208,0.00208,0.00208
