epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,5291.75,0.57752,0.36082,1.04684,0.91956,0.89265,0.9418,0.79471,0.65569,0.41141,1.07866,0.005842,0.005842,0.005842
44,5413.97,0.57436,0.35833,1.04436,0.91461,0.89819,0.94414,0.79596,0.65785,0.40803,1.08081,0.005743,0.005743,0.005743
45,5536.11,0.56927,0.35195,1.04295,0.92578,0.89652,0.94562,0.79582,0.65034,0.40418,1.07403,0.005644,0.005644,0.005644
46,5658.58,0.56795,0.34983,1.03923,0.91944,0.89583,0.94725,0.798,0.65185,0.40387,1.07532,0.005545,0.005545,0.005545
47,5780.94,0.56392,0.35116,1.04095,0.91946,0.90867,0.94604,0.7976,0.6521,0.40282,1.07821,0.005446,0.005446,0.005446
48,5903.13,0.56146,0.34493,1.03357,0.92902,0.89673,0.94661,0.80108,0.6409,0.39319,1.06591,0.005347,0.005347,0.005347
49,6026.1,0.56073,0.3421,1.03618,0.92651,0.89241,0.94513,0.80015,0.64638,0.39657,1.07215,0.005248,0.005248,0.005248
50,6148.45,0.55595,0.34131,1.03138,0.92569,0.89247,0.9464,0.80212,0.64354,0.39581,1.06526,0.005149,0.005149,0.005149
51,6271.06,0.55272,0.33607,1.03162,0.92379,0.89822,0.95023,0.80539,0.63607,0.38299,1.06605,0.00505,0.00505,0.00505
52,6393.67,0.55245,0.33464,1.02684,0.92289,0.90024,0.95202,0.80692,0.63895,0.38258,1.06525,0.004951,0.004951,0.004951
53,6515.86,0.54539,0.32963,1.01886,0.91806,0.91039,0.95281,0.8079,0.63619,0.38199,1.06172,0.004852,0.004852,0.004852
54,6638.58,0.54167,0.32518,1.02043,0.92901,0.9097,0.95358,0.8092,0.63483,0.37389,1.06538,0.004753,0.004753,0.004753
55,6762.19,0.53789,0.32178,1.01959,0.92666,0.90643,0.9508,0.80855,0.63734,0.37701,1.06718,0.004654,0.004654,0.004654
56,6885.07,0.53652,0.32445,1.01863,0.92914,0.90556,0.95278,0.81095,0.6328,0.37227,1.06172,0.004555,0.004555,0.004555
57,7007.89,0.53217,0.31724,1.01611,0.91672,0.91723,0.95193,0.81132,0.62943,0.3761,1.05543,0.004456,0.004456,0.004456
58,7130.51,0.52529,0.31206,1.0131,0.9215,0.91497,0.95156,0.81097,0.62557,0.37208,1.05673,0.004357,0.004357,0.004357
59,7253.48,0.52669,0.31155,1.01378,0.90785,0.92157,0.95009,0.81213,0.62765,0.37208,1.05857,0.004258,0.004258,0.004258
60,7376.22,0.5242,0.30791,1.0103,0.90829,0.91823,0.9531,0.81304,0.62292,0.37298,1.05726,0.004159,0.004159,0.004159
61,7498.76,0.52051,0.30601,1.00341,0.93347,0.90216,0.95406,0.81379,0.62139,0.36633,1.05146,0.00406,0.00406,0.00406
62,7617.35,0.51239,0.30131,1.00081,0.92909,0.9164,0.95531,0.81766,0.61859,0.35852,1.05274,0.003961,0.003961,0.003961
63,7739.1,0.51187,0.29867,1.00059,0.92899,0.91345,0.95441,0.81465,0.61897,0.35847,1.05191,0.003862,0.003862,0.003862
64,7861.35,0.50797,0.29902,0.99628,0.92174,0.91605,0.9551,0.81704,0.62336,0.36468,1.05597,0.003763,0.003763,0.003763
