epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2024.74,0.21939,0.1589,0.79037,0.9194,0.83901,0.89347,0.74813,0.67115,0.48972,1.0548,0.000258434,0.000258434,0.000258434
43,2072.97,0.21742,0.15858,0.7903,0.92602,0.82538,0.88911,0.74342,0.67282,0.49543,1.05566,0.000254127,0.000254127,0.000254127
44,2120.98,0.20873,0.15363,0.78842,0.91651,0.83111,0.8913,0.74576,0.67637,0.49764,1.06377,0.00024982,0.00024982,0.00024982
45,2168.86,0.20833,0.15072,0.78738,0.91427,0.83304,0.89146,0.7448,0.68082,0.5055,1.07269,0.000245514,0.000245514,0.000245514
46,2216.86,0.19696,0.14801,0.78493,0.92855,0.83154,0.89204,0.74353,0.67236,0.48906,1.06979,0.000241207,0.000241207,0.000241207
47,2264.98,0.19519,0.14578,0.78488,0.90913,0.83368,0.88921,0.74586,0.67416,0.50252,1.06608,0.000236901,0.000236901,0.000236901
48,2312.98,0.19446,0.14493,0.78342,0.92246,0.82641,0.89448,0.74669,0.66836,0.48879,1.06738,0.000232595,0.000232595,0.000232595
49,2360.91,0.18778,0.14082,0.78215,0.91875,0.83179,0.89445,0.7495,0.6656,0.48922,1.07059,0.000228288,0.000228288,0.000228288
50,2409.01,0.18726,0.14085,0.78215,0.93201,0.82114,0.89348,0.74816,0.67596,0.49302,1.06903,0.000223982,0.000223982,0.000223982
51,2457.02,0.18074,0.13717,0.78124,0.92023,0.82926,0.89231,0.74559,0.67587,0.50095,1.07621,0.000219675,0.000219675,0.000219675
52,2504.95,0.18077,0.13693,0.78123,0.92026,0.83063,0.88914,0.74331,0.6736,0.49533,1.07614,0.000215368,0.000215368,0.000215368
53,2552.94,0.17444,0.13275,0.77959,0.91263,0.83182,0.89572,0.75078,0.66938,0.49005,1.07036,0.000211062,0.000211062,0.000211062
54,2601.03,0.16767,0.12927,0.77817,0.91909,0.82983,0.89608,0.75201,0.66587,0.48415,1.07024,0.000206755,0.000206755,0.000206755
55,2649.28,0.16739,0.12834,0.7783,0.91898,0.82302,0.88951,0.74536,0.66594,0.49962,1.0782,0.000202449,0.000202449,0.000202449
56,2697.27,0.16665,0.12631,0.77812,0.92413,0.82752,0.89097,0.74866,0.66666,0.50088,1.0731,0.000198142,0.000198142,0.000198142
57,2745.28,0.16786,0.12887,0.77814,0.92247,0.82453,0.89208,0.74967,0.66405,0.49134,1.07321,0.000193836,0.000193836,0.000193836
58,2793.24,0.1629,0.12731,0.77718,0.92436,0.82706,0.89338,0.7518,0.66614,0.49045,1.07193,0.00018953,0.00018953,0.00018953
59,2841.25,0.15758,0.12277,0.77608,0.91799,0.82611,0.89194,0.74841,0.66688,0.48411,1.07581,0.000185223,0.000185223,0.000185223
60,2889.25,0.15725,0.1215,0.77565,0.93076,0.82535,0.89234,0.74326,0.6708,0.49428,1.08543,0.000180917,0.000180917,0.000180917
61,2937.48,0.15414,0.12002,0.77564,0.925,0.82717,0.89157,0.74424,0.66621,0.49302,1.0782,0.00017661,0.00017661,0.00017661
62,2985.39,0.14847,0.11543,0.77444,0.92637,0.82591,0.89533,0.75135,0.66393,0.4918,1.08158,0.000172304,0.000172304,0.000172304
63,3033.33,0.14468,0.11229,0.77394,0.91504,0.8354,0.89616,0.75357,0.65719,0.49074,1.07919,0.000167997,0.000167997,0.000167997
64,3081.58,0.14301,0.11164,0.77312,0.92263,0.83802,0.89818,0.75416,0.66211,0.48905,1.08012,0.000163691,0.000163691,0.000163691
65,3129.67,0.14126,0.11075,0.77317,0.92733,0.83396,0.89801,0.75528,0.66039,0.48855,1.08046,0.000159384,0.000159384,0.000159384
66,3177.78,0.13778,0.10873,0.77225,0.92684,0.83838,0.89552,0.75352,0.6576,0.48696,1.07619,0.000155078,0.000155078,0.000155078
67,3225.76,0.1329,0.10645,0.77132,0.92603,0.83954,0.89594,0.75482,0.65696,0.48337,1.07918,0.000150771,0.000150771,0.000150771
68,3273.78,0.12967,0.10319,0.77082,0.9173,0.84456,0.89669,0.75464,0.65844,0.49468,1.07898,0.000146464,0.000146464,0.000146464
69,3321.83,0.12775,0.10396,0.77045,0.91289,0.84601,0.89668,0.75364,0.65667,0.4948,1.08322,0.000142158,0.000142158,0.000142158
70,3369.86,0.12524,0.10119,0.77009,0.93463,0.83262,0.89568,0.75322,0.65626,0.49654,1.08437,0.000137852,0.000137852,0.000137852
71,3417.85,0.12273,0.09968,0.76978,0.93806,0.83059,0.89426,0.7516,0.65704,0.49985,1.0871,0.000133545,0.000133545,0.000133545
72,3465.88,0.11972,0.09763,0.76895,0.93874,0.82983,0.8956,0.75382,0.65941,0.49877,1.08863,0.000129239,0.000129239,0.000129239
73,3514.07,0.12067,0.10045,0.76918,0.92387,0.83758,0.89516,0.75369,0.65665,0.50502,1.08491,0.000124932,0.000124932,0.000124932
74,3562.1,0.11615,0.09475,0.76936,0.92466,0.83698,0.89482,0.75289,0.6575,0.50628,1.08864,0.000120626,0.000120626,0.000120626
75,3610.13,0.11313,0.09345,0.76798,0.92068,0.84012,0.89602,0.7557,0.65698,0.51002,1.09303,0.000116319,0.000116319,0.000116319
76,3658.25,0.10924,0.09115,0.76706,0.92954,0.82791,0.89615,0.75595,0.65767,0.50975,1.09509,0.000112013,0.000112013,0.000112013
77,3706.44,0.1061,0.08934,0.76637,0.92421,0.83352,0.89681,0.75378,0.65771,0.50199,1.09447,0.000107706,0.000107706,0.000107706
78,3754.47,0.1034,0.0878,0.76668,0.90951,0.84698,0.89699,0.75517,0.65526,0.5031,1.09426,0.000103399,0.000103399,0.000103399
79,3802.47,0.10156,0.08584,0.76614,0.92628,0.83461,0.8969,0.75617,0.65484,0.50132,1.09555,9.9093e-05,9.9093e-05,9.9093e-05
80,3850.6,0.09846,0.08352,0.76546,0.93548,0.8256,0.89748,0.75688,0.65553,0.50605,1.09818,9.47865e-05,9.47865e-05,9.47865e-05
81,3898.92,0.09703,0.0828,0.76572,0.92512,0.83321,0.89775,0.75752,0.65435,0.51038,1.09677,9.048e-05,9.048e-05,9.048e-05
82,3947.18,0.09315,0.08082,0.76433,0.9287,0.83519,0.89557,0.75544,0.65431,0.51537,1.09798,8.61735e-05,8.61735e-05,8.61735e-05
83,3995.08,0.09007,0.07854,0.76432,0.92531,0.83721,0.89415,0.75418,0.65454,0.51139,1.09977,8.1867e-05,8.1867e-05,8.1867e-05
84,4043.06,0.08938,0.07812,0.7642,0.92398,0.83394,0.89475,0.75455,0.65383,0.51652,1.10151,7.75605e-05,7.75605e-05,7.75605e-05
85,4091.11,0.08593,0.076,0.76385,0.91654,0.83963,0.89384,0.75473,0.65363,0.51686,1.10313,7.3254e-05,7.3254e-05,7.3254e-05
86,4139.18,0.08324,0.07441,0.7634,0.91843,0.8383,0.89472,0.75453,0.65477,0.5202,1.10406,6.89475e-05,6.89475e-05,6.89475e-05
87,4187.23,0.08165,0.07255,0.76343,0.93381,0.82929,0.89589,0.75639,0.65516,0.51804,1.1046,6.4641e-05,6.4641e-05,6.4641e-05
88,4235.37,0.07795,0.07071,0.76276,0.93157,0.8293,0.89541,0.75567,0.65429,0.51999,1.10469,6.03345e-05,6.03345e-05,6.03345e-05
89,4283.33,0.07654,0.07039,0.76232,0.93195,0.83328,0.89559,0.75621,0.65311,0.52034,1.10278,5.6028e-05,5.6028e-05,5.6028e-05
90,4331.29,0.07627,0.06934,0.7627,0.93727,0.82789,0.89596,0.7556,0.65392,0.5206,1.10566,5.17215e-05,5.17215e-05,5.17215e-05
91,4380.58,0.07618,0.06912,0.76286,0.92692,0.83407,0.89672,0.75745,0.65492,0.52117,1.10769,4.7415e-05,4.7415e-05,4.7415e-05
92,4428.79,0.0718,0.06692,0.76195,0.93671,0.82869,0.89671,0.75698,0.65447,0.52337,1.10812,4.31085e-05,4.31085e-05,4.31085e-05
93,4476.86,0.06938,0.06487,0.76238,0.93435,0.82939,0.89595,0.75615,0.65453,0.52425,1.10791,3.8802e-05,3.8802e-05,3.8802e-05
94,4524.84,0.06772,0.06377,0.76217,0.92747,0.83427,0.89636,0.75634,0.6544,0.52418,1.10867,3.44955e-05,3.44955e-05,3.44955e-05
95,4572.79,0.06558,0.0623,0.76157,0.93222,0.83163,0.89588,0.7553,0.65434,0.52372,1.10802,3.0189e-05,3.0189e-05,3.0189e-05
96,4620.81,0.06433,0.06185,0.76207,0.93308,0.8314,0.89665,0.75639,0.65384,0.52425,1.10787,2.58825e-05,2.58825e-05,2.58825e-05
97,4669.02,0.06424,0.06186,0.76157,0.93339,0.83148,0.89767,0.75757,0.65366,0.52533,1.10841,2.1576e-05,2.1576e-05,2.1576e-05
98,4717.3,0.06272,0.05989,0.7621,0.92979,0.83644,0.89807,0.75704,0.65427,0.52718,1.10856,1.72695e-05,1.72695e-05,1.72695e-05
99,4765.48,0.0571,0.05646,0.76053,0.92689,0.83805,0.89762,0.75681,0.65433,0.53051,1.10936,1.2963e-05,1.2963e-05,1.2963e-05
100,4813.64,0.05927,0.05748,0.76178,0.92584,0.83854,0.89795,0.75692,0.65439,0.53143,1.10965,8.6565e-06,8.6565e-06,8.6565e-06
