epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,65.3375,0.80551,2.62672,1.13256,0.42167,0.59176,0.46373,0.36323,0.86798,1.85092,1.06598,0.00331407,0.00331407,0.00331407
2,125.847,0.85192,1.49959,1.12043,0.40345,0.38068,0.31877,0.23076,1.07706,3.13449,1.31131,0.00658159,0.00658159,0.00658159
3,185.371,1.01077,1.6409,1.23936,0.20734,0.12907,0.06642,0.0376,1.68812,8.06967,2.46347,0.00978311,0.00978311,0.00978311
4,244.958,1.06003,1.64545,1.27853,0.20593,0.33378,0.18982,0.12523,1.42178,5.46293,1.70694,0.009703,0.009703,0.009703
5,304.693,0.96878,1.33484,1.2168,0.50265,0.46575,0.4701,0.34164,1.13915,1.7938,1.32583,0.009604,0.009604,0.009604
6,365.487,0.91206,1.17005,1.1775,0.65913,0.57443,0.60944,0.45221,0.99586,1.29318,1.20864,0.009505,0.009505,0.009505
7,427.028,0.87683,1.05508,1.14736,0.71138,0.59288,0.65103,0.4902,0.98298,1.13868,1.18865,0.009406,0.009406,0.009406
8,487.249,0.85251,0.97335,1.13226,0.66478,0.63263,0.66942,0.50592,0.95257,1.13755,1.15497,0.009307,0.009307,0.009307
9,546.632,0.82671,0.89165,1.11886,0.76336,0.65558,0.71595,0.55088,0.90932,1.03547,1.12008,0.009208,0.009208,0.009208
10,605.433,0.79685,0.82512,1.09723,0.68436,0.61085,0.67438,0.52014,0.92132,1.18005,1.12992,0.009109,0.009109,0.009109
11,663.702,0.78319,0.7721,1.08738,0.81214,0.70263,0.7808,0.61025,0.85706,0.83727,1.07735,0.00901,0.00901,0.00901
12,722.093,0.76416,0.73906,1.07466,0.81988,0.71885,0.78528,0.61813,0.83485,0.7863,1.07635,0.008911,0.008911,0.008911
13,780.5,0.75626,0.71197,1.07528,0.84497,0.70525,0.80233,0.63179,0.82971,0.76714,1.06552,0.008812,0.008812,0.008812
14,838.81,0.74965,0.68607,1.06404,0.85665,0.72937,0.81767,0.64313,0.83473,0.72638,1.06413,0.008713,0.008713,0.008713
15,897.269,0.74343,0.67176,1.0602,0.85303,0.72778,0.81517,0.64649,0.83036,0.71015,1.05877,0.008614,0.008614,0.008614
16,955.681,0.73282,0.63984,1.05829,0.84634,0.74728,0.82176,0.65381,0.80326,0.70118,1.05136,0.008515,0.008515,0.008515
17,1013.9,0.72231,0.62338,1.05477,0.86758,0.74516,0.83452,0.66447,0.79979,0.67237,1.04346,0.008416,0.008416,0.008416
18,1072.6,0.71551,0.60594,1.04322,0.87757,0.73953,0.82818,0.66136,0.80837,0.67436,1.05626,0.008317,0.008317,0.008317
19,1130.98,0.70809,0.59091,1.03718,0.88957,0.77264,0.85033,0.68371,0.77005,0.61703,1.02945,0.008218,0.008218,0.008218
20,1189.34,0.70036,0.58515,1.03547,0.89099,0.77013,0.85273,0.69033,0.76789,0.60629,1.02996,0.008119,0.008119,0.008119
21,1247.87,0.69413,0.56472,1.03588,0.90805,0.78041,0.86266,0.69974,0.74615,0.57108,1.01496,0.00802,0.00802,0.00802
22,1306.26,0.69485,0.54641,1.03545,0.90313,0.77909,0.85816,0.687,0.76541,0.59428,1.02799,0.007921,0.007921,0.007921
23,1364.67,0.68409,0.54501,1.02722,0.89296,0.78771,0.86557,0.70159,0.7571,0.56511,1.02774,0.007822,0.007822,0.007822
24,1422.97,0.68179,0.53076,1.02885,0.88803,0.79453,0.87334,0.71013,0.73966,0.56025,1.01109,0.007723,0.007723,0.007723
25,1481.34,0.67497,0.52916,1.01906,0.91508,0.79308,0.87515,0.70976,0.73682,0.55143,1.00826,0.007624,0.007624,0.007624
26,1539.61,0.66853,0.51706,1.01778,0.89711,0.80372,0.88336,0.71983,0.73333,0.52579,1.00613,0.007525,0.007525,0.007525
27,1598.02,0.66684,0.50419,1.01517,0.91244,0.80018,0.88623,0.7234,0.71853,0.51027,0.99684,0.007426,0.007426,0.007426
28,1656.29,0.65968,0.49799,1.01,0.89894,0.79202,0.8756,0.71348,0.72427,0.55116,0.99694,0.007327,0.007327,0.007327
29,1714.47,0.6586,0.48678,1.00898,0.90954,0.80279,0.88034,0.71887,0.71975,0.52321,1.00294,0.007228,0.007228,0.007228
30,1773.01,0.65585,0.49237,1.00861,0.90799,0.81016,0.88605,0.72786,0.70486,0.51194,0.99359,0.007129,0.007129,0.007129
31,1831.34,0.64994,0.48235,1.00976,0.91013,0.81962,0.891,0.73191,0.70429,0.49894,0.98798,0.00703,0.00703,0.00703
32,1889.82,0.64511,0.47242,1.00624,0.91606,0.81239,0.89523,0.74022,0.69325,0.48219,0.98126,0.006931,0.006931,0.006931
33,1948.21,0.64312,0.47136,1.00234,0.90855,0.8239,0.89287,0.73614,0.69522,0.48673,0.98549,0.006832,0.006832,0.006832
34,2006.61,0.64031,0.46141,1.00315,0.90068,0.82704,0.90008,0.74406,0.67747,0.47895,0.97279,0.006733,0.006733,0.006733
35,2064.92,0.63291,0.45705,0.99931,0.90884,0.83288,0.90384,0.74739,0.68251,0.46405,0.97558,0.006634,0.006634,0.006634
36,2123.39,0.63279,0.44892,0.99994,0.91752,0.81943,0.90104,0.74547,0.68553,0.47166,0.97715,0.006535,0.006535,0.006535
37,2181.73,0.62766,0.44697,0.9928,0.91969,0.8306,0.90382,0.75001,0.67043,0.45156,0.96821,0.006436,0.006436,0.006436
38,2240,0.62986,0.44323,0.99531,0.91748,0.83269,0.90664,0.75219,0.67248,0.44655,0.975,0.006337,0.006337,0.006337
39,2298.37,0.61939,0.42911,0.98911,0.90821,0.8315,0.90844,0.75495,0.66867,0.44017,0.97116,0.006238,0.006238,0.006238
40,2356.66,0.61629,0.42652,0.98856,0.91665,0.82402,0.9059,0.75273,0.66766,0.44921,0.97163,0.006139,0.006139,0.006139
41,2415.04,0.61555,0.42816,0.98691,0.9111,0.84476,0.9109,0.75949,0.65936,0.42494,0.96526,0.00604,0.00604,0.00604
42,2473.12,0.60773,0.42026,0.98284,0.90704,0.84256,0.90977,0.76174,0.65629,0.43221,0.96616,0.005941,0.005941,0.005941
43,2531.5,0.60947,0.41825,0.98655,0.90666,0.84988,0.91436,0.76516,0.6562,0.4203,0.96901,0.005842,0.005842,0.005842
44,2589.81,0.60654,0.41272,0.98284,0.92981,0.83884,0.91821,0.76624,0.65318,0.41925,0.95985,0.005743,0.005743,0.005743
45,2648,0.60392,0.40485,0.98154,0.91755,0.84249,0.91537,0.76553,0.6536,0.41942,0.96298,0.005644,0.005644,0.005644
46,2706.14,0.60111,0.40475,0.97896,0.92491,0.84602,0.918,0.76649,0.6522,0.41873,0.9627,0.005545,0.005545,0.005545
47,2764.65,0.59311,0.39487,0.97858,0.92488,0.83925,0.91966,0.76812,0.64607,0.41624,0.96038,0.005446,0.005446,0.005446
48,2822.96,0.59894,0.39471,0.97564,0.91431,0.8508,0.91813,0.76876,0.6437,0.41815,0.95929,0.005347,0.005347,0.005347
49,2881.1,0.5876,0.38855,0.97377,0.91518,0.85373,0.92,0.76951,0.64877,0.41124,0.96207,0.005248,0.005248,0.005248
50,2939.3,0.58707,0.38582,0.9736,0.91702,0.85309,0.92154,0.77258,0.64203,0.40925,0.95609,0.005149,0.005149,0.005149
51,2997.64,0.58538,0.38139,0.97331,0.91273,0.85967,0.92137,0.77505,0.6397,0.40547,0.95508,0.00505,0.00505,0.00505
52,3055.91,0.58533,0.37807,0.971,0.91954,0.85435,0.92196,0.776,0.63571,0.39887,0.95393,0.004951,0.004951,0.004951
53,3114.35,0.57966,0.3732,0.96664,0.93265,0.8458,0.92307,0.77691,0.63275,0.39633,0.95054,0.004852,0.004852,0.004852
54,3172.79,0.57649,0.36574,0.97098,0.92068,0.85116,0.92488,0.77936,0.6331,0.39882,0.95128,0.004753,0.004753,0.004753
55,3231.2,0.57597,0.36332,0.96399,0.93199,0.84867,0.92534,0.77773,0.63607,0.39462,0.95262,0.004654,0.004654,0.004654
56,3289.39,0.56987,0.36444,0.95888,0.9317,0.85377,0.92646,0.78215,0.62841,0.38494,0.94798,0.004555,0.004555,0.004555
57,3347.63,0.566,0.36012,0.96006,0.92566,0.85624,0.92581,0.78361,0.62693,0.38596,0.94776,0.004456,0.004456,0.004456
58,3406.01,0.56124,0.35518,0.95714,0.93214,0.85491,0.92693,0.78275,0.62588,0.38576,0.94876,0.004357,0.004357,0.004357
59,3464.32,0.56565,0.35359,0.96024,0.92438,0.8647,0.928,0.78326,0.62484,0.38225,0.94834,0.004258,0.004258,0.004258
60,3522.42,0.56083,0.34854,0.9578,0.92224,0.86264,0.92904,0.78123,0.62686,0.38393,0.94808,0.004159,0.004159,0.004159
61,3580.44,0.56108,0.34986,0.95308,0.91711,0.87101,0.92789,0.78195,0.62407,0.38147,0.94663,0.00406,0.00406,0.00406
62,3638.65,0.5529,0.34453,0.95805,0.91837,0.86572,0.92739,0.78386,0.62216,0.37887,0.94476,0.003961,0.003961,0.003961
63,3697.08,0.55394,0.33859,0.95356,0.92911,0.86191,0.92824,0.7834,0.6213,0.37633,0.94415,0.003862,0.003862,0.003862
64,3755.32,0.54733,0.33531,0.95053,0.916,0.8734,0.92915,0.7858,0.61866,0.37536,0.94305,0.003763,0.003763,0.003763
65,3813.6,0.54612,0.33389,0.95283,0.90571,0.87603,0.92821,0.78631,0.61622,0.37396,0.94228,0.003664,0.003664,0.003664
66,3871.92,0.54076,0.32929,0.94585,0.90949,0.87575,0.92905,0.78766,0.61639,0.37368,0.94329,0.003565,0.003565,0.003565
67,3930.08,0.54271,0.32665,0.94797,0.92638,0.86088,0.92781,0.78552,0.6166,0.37685,0.94338,0.003466,0.003466,0.003466
68,3988.1,0.53758,0.32919,0.94594,0.92883,0.85664,0.92817,0.78722,0.61514,0.37586,0.94195,0.003367,0.003367,0.003367
69,4046.99,0.53381,0.31992,0.94325,0.9275,0.8576,0.92739,0.78624,0.6138,0.37547,0.94102,0.003268,0.003268,0.003268
70,4106.04,0.53225,0.32099,0.94107,0.92696,0.8614,0.9278,0.78641,0.61255,0.37453,0.94062,0.003169,0.003169,0.003169
