epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,8057.96,0.61723,0.42421,1.0804,0.90095,0.88881,0.93813,0.78283,0.6656,0.43645,1.08869,0.005842,0.005842,0.005842
44,8244.46,0.61495,0.4163,1.07607,0.92512,0.87898,0.93883,0.78806,0.66178,0.42469,1.08812,0.005743,0.005743,0.005743
45,8430.14,0.61263,0.41107,1.07801,0.90548,0.88974,0.94026,0.78847,0.66241,0.42512,1.08429,0.005644,0.005644,0.005644
46,8615.97,0.60858,0.41283,1.07124,0.9125,0.88093,0.94166,0.79006,0.66189,0.42141,1.08964,0.005545,0.005545,0.005545
47,8801.8,0.6069,0.40248,1.07142,0.92933,0.87635,0.94111,0.78747,0.6587,0.4162,1.08928,0.005446,0.005446,0.005446
48,8988.09,0.60624,0.40101,1.06971,0.93149,0.87537,0.93957,0.7902,0.65687,0.41835,1.08321,0.005347,0.005347,0.005347
49,9172.56,0.60504,0.40167,1.0671,0.92585,0.87445,0.94209,0.79093,0.66206,0.41017,1.08584,0.005248,0.005248,0.005248
50,9358.19,0.59596,0.38521,1.06507,0.92993,0.87254,0.94285,0.79366,0.65678,0.41349,1.08314,0.005149,0.005149,0.005149
51,9545.48,0.59071,0.38835,1.06285,0.92073,0.88786,0.94446,0.79312,0.65735,0.40517,1.08241,0.00505,0.00505,0.00505
52,9731.09,0.58952,0.38542,1.05892,0.9162,0.89048,0.94582,0.79584,0.65369,0.40286,1.07939,0.004951,0.004951,0.004951
53,9917.25,0.5898,0.37816,1.05324,0.93073,0.87545,0.94435,0.79437,0.65067,0.39806,1.07552,0.004852,0.004852,0.004852
54,10102.8,0.58932,0.37421,1.05699,0.92291,0.88899,0.94464,0.7997,0.64807,0.39556,1.07663,0.004753,0.004753,0.004753
55,10288.5,0.58644,0.37149,1.05279,0.92551,0.88914,0.94648,0.79938,0.64329,0.39319,1.07209,0.004654,0.004654,0.004654
56,10473.4,0.58024,0.36375,1.05169,0.92822,0.88545,0.94728,0.80131,0.64161,0.38733,1.07342,0.004555,0.004555,0.004555
57,10657.8,0.5757,0.36424,1.04914,0.91852,0.90018,0.94841,0.80263,0.64142,0.38933,1.07408,0.004456,0.004456,0.004456
58,10841.9,0.57189,0.36038,1.04061,0.93769,0.88193,0.94912,0.80207,0.64509,0.38457,1.07592,0.004357,0.004357,0.004357
59,11027.4,0.57533,0.35583,1.04297,0.90865,0.90311,0.94958,0.80365,0.6438,0.38478,1.07438,0.004258,0.004258,0.004258
60,11213.2,0.56767,0.35161,1.04019,0.93021,0.87989,0.94909,0.8054,0.63921,0.38311,1.07154,0.004159,0.004159,0.004159
61,11398.9,0.56706,0.34902,1.03587,0.9361,0.87802,0.95,0.80681,0.63558,0.38084,1.0658,0.00406,0.00406,0.00406
62,11583.3,0.55987,0.34672,1.03562,0.92362,0.89537,0.95087,0.80802,0.6322,0.37579,1.06408,0.003961,0.003961,0.003961
63,11768.9,0.56157,0.35227,1.03454,0.93273,0.88716,0.9496,0.80632,0.6354,0.37754,1.06943,0.003862,0.003862,0.003862
64,11953.6,0.55305,0.34194,1.03442,0.92212,0.898,0.95214,0.80908,0.63133,0.37106,1.06727,0.003763,0.003763,0.003763
65,12138.1,0.55466,0.33711,1.03176,0.93328,0.88777,0.95047,0.80843,0.63239,0.37546,1.06641,0.003664,0.003664,0.003664
66,12323.1,0.54932,0.32865,1.03391,0.92523,0.89708,0.9495,0.80858,0.63264,0.37534,1.06695,0.003565,0.003565,0.003565
67,12508.8,0.5513,0.3313,1.0268,0.93401,0.88606,0.9498,0.80785,0.63355,0.38044,1.06712,0.003466,0.003466,0.003466
68,12695.4,0.54634,0.33562,1.02559,0.93674,0.88922,0.95047,0.81032,0.633,0.37334,1.06635,0.003367,0.003367,0.003367
69,12881.1,0.54525,0.32539,1.02151,0.92341,0.89841,0.95091,0.80824,0.63091,0.37409,1.06393,0.003268,0.003268,0.003268
70,13065.6,0.53947,0.31759,1.01745,0.92354,0.90584,0.9508,0.81183,0.62722,0.37232,1.06164,0.003169,0.003169,0.003169
71,13251.5,0.53595,0.31385,1.01719,0.92516,0.90201,0.9513,0.81114,0.62838,0.37222,1.06231,0.00307,0.00307,0.00307
72,13437,0.53236,0.31091,1.01861,0.91736,0.91201,0.95076,0.81106,0.62564,0.36766,1.06058,0.002971,0.002971,0.002971
73,13622.4,0.52878,0.3123,1.00997,0.92381,0.90152,0.95169,0.81361,0.62191,0.36696,1.05913,0.002872,0.002872,0.002872
74,13807.4,0.5245,0.30638,1.01276,0.91407,0.91236,0.95154,0.81388,0.62197,0.36558,1.05999,0.002773,0.002773,0.002773
75,13993.2,0.52099,0.30672,1.01118,0.91018,0.91067,0.95132,0.81342,0.62384,0.36509,1.06124,0.002674,0.002674,0.002674
76,14177.2,0.51843,0.30139,1.0074,0.9116,0.91628,0.95188,0.81357,0.62287,0.36238,1.06101,0.002575,0.002575,0.002575
77,14361.5,0.5145,0.2984,1.00542,0.9145,0.91136,0.95133,0.81336,0.62311,0.36395,1.05997,0.002476,0.002476,0.002476
78,14546.9,0.51177,0.2926,1.00329,0.91965,0.90968,0.95228,0.81375,0.6218,0.36036,1.05834,0.002377,0.002377,0.002377
79,14732,0.50757,0.29235,1.0037,0.9219,0.90894,0.95157,0.81464,0.6207,0.36059,1.05696,0.002278,0.002278,0.002278
80,14921.8,0.50779,0.2914,0.99667,0.9228,0.90887,0.95239,0.81546,0.61853,0.35866,1.05491,0.002179,0.002179,0.002179
81,15107.8,0.50203,0.28394,0.9939,0.91904,0.90716,0.95149,0.8167,0.61708,0.35951,1.05417,0.00208,0.00208,0.00208
82,15293.5,0.50139,0.28395,0.99374,0.92162,0.90488,0.95184,0.8163,0.61736,0.35844,1.05558,0.001981,0.001981,0.001981
